"CandidateFile","FlowFile","Frequency","Agents","Seed","CandidateActualMakespan","FlowActualMakespan","DeltaCandidateMinusFlow","CandidateLegacyMakespan","FlowLegacyMakespan"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_0.json","2","80","0","298","289","9","268","231"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_1.json","2","80","1","289","286","3","257","234"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_2.json","2","80","2","287","290","-3","237","237"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_0.json","5","100","0","184","175","9","173","171"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_1.json","5","100","1","172","176","-4","163","173"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_2.json","5","100","2","181","180","1","171","167"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_0.json","5","50","0","276","281","-5","264","273"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_1.json","5","50","1","284","278","6","273","277"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_2.json","5","50","2","278","267","11","277","259"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_0.json","5","80","0","210","206","4","202","203"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_1.json","5","80","1","208","209","-1","197","204"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f5_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_2.json","5","80","2","203","194","9","198","193"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_0.json","10","100","0","180","169","11","175","165"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_1.json","10","100","1","161","176","-15","157","172"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_2.json","10","100","2","160","172","-12","156","169"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_0.json","10","50","0","276","272","4","276","270"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_1.json","10","50","1","273","268","5","270","268"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_2.json","10","50","2","272","266","6","266","264"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_0.json","10","80","0","194","194","0","191","193"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_1.json","10","80","1","196","201","-5","192","199"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f10_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_2.json","10","80","2","197","193","4","190","187"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_0.json","2","100","0","295","293","2","233","229"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_1.json","2","100","1","286","287","-1","212","222"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_2.json","2","100","2","285","284","1","241","214"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_0.json","2","50","0","297","306","-9","288","297"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_1.json","2","50","1","318","307","11","288","296"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_2.json","2","50","2","306","298","8","292","291"
