"ResultFile","ResultRoot","LegacyMakespan","FinishedTasks","TaskMetricFile","TaskRows","UnfinishedTasks","ActualMakespan","AllTasksCompleted","DeltaActualMinusLegacy","PlannerErrors","ScheduleErrors","EntryTimeouts","AuditStatus"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_0.json","f2_n50","299","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_0.task_metrics.csv","500","0","306","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_1.json","f2_n50","286","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_1.task_metrics.csv","500","0","313","True","27","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_2.json","f2_n50","288","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n50\seed_2.task_metrics.csv","500","0","301","True","13","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_0.json","f2_n80","266","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_0.task_metrics.csv","500","0","292","True","26","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_1.json","f2_n80","225","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_1.task_metrics.csv","500","0","287","True","62","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_2.json","f2_n80","265","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n80\seed_2.task_metrics.csv","500","0","285","True","20","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_0.json","f5_n100","172","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_0.task_metrics.csv","500","0","178","True","6","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_1.json","f5_n100","172","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_1.task_metrics.csv","500","0","178","True","6","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_2.json","f5_n100","173","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n100\seed_2.task_metrics.csv","500","0","179","True","6","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_0.json","f5_n50","271","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_0.task_metrics.csv","500","0","272","True","1","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_1.json","f5_n50","276","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_1.task_metrics.csv","500","0","279","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_2.json","f5_n50","273","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n50\seed_2.task_metrics.csv","500","0","281","True","8","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_0.json","f5_n80","206","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_0.task_metrics.csv","500","0","209","True","3","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_1.json","f5_n80","198","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_1.task_metrics.csv","500","0","205","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_2.json","f5_n80","198","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f5_n80\seed_2.task_metrics.csv","500","0","200","True","2","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_confirm\f10_n100\seed_3.json","f10_n100","169","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_confirm\f10_n100\seed_3.task_metrics.csv","500","0","169","True","0","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_confirm\f10_n100\seed_4.json","f10_n100","166","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_confirm\f10_n100\seed_4.task_metrics.csv","500","0","170","True","4","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_0.json","f10_n100","164","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_0.task_metrics.csv","500","0","171","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_1.json","f10_n100","166","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_1.task_metrics.csv","500","0","168","True","2","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_2.json","f10_n100","162","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_screen\f10_n100\seed_2.task_metrics.csv","500","0","169","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_0.json","table2_f2_n50_flow_unit","297","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_0.task_metrics.csv","500","0","306","True","9","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_1.json","table2_f2_n50_flow_unit","296","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_1.task_metrics.csv","500","0","307","True","11","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_2.json","table2_f2_n50_flow_unit","291","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_2.task_metrics.csv","500","0","298","True","7","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_3.json","table2_f2_n50_flow_unit","311","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_3.task_metrics.csv","500","0","316","True","5","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_4.json","table2_f2_n50_flow_unit","303","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_4.task_metrics.csv","500","0","316","True","13","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_best_confirm\seed_3.json","table2_f2_n50_taskmatcher_best_confirm","302","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_best_confirm\seed_3.task_metrics.csv","500","0","325","True","23","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_best_confirm\seed_4.json","table2_f2_n50_taskmatcher_best_confirm","299","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_best_confirm\seed_4.task_metrics.csv","500","0","325","True","26","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_0.json","w10_r0p5","287","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_0.task_metrics.csv","500","0","313","True","26","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_1.json","w10_r0p5","296","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_1.task_metrics.csv","500","0","325","True","29","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_2.json","w10_r0p5","291","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p5\seed_2.task_metrics.csv","500","0","314","True","23","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_0.json","w10_r0p75","308","500","C:\gitcloud\LifelongTA\results\table2_f2_n50_taskmatcher_screen\w10_r0p75\seed_0.task_metrics.csv","500","0","315","True","7","0","0","0","valid"
